team,elo
Spain,2168.1752037355145
Argentina,2092.5403258212673
France,2073.5627925403933
England,2063.1395634331243
Ecuador,1999.140647165107
Brazil,1983.6642141902112
Colombia,1975.7729086279332
Portugal,1975.1376865666512
Japan,1964.2231619237236
Netherlands,1957.3494201994354
Mexico,1955.2359510339445
Morocco,1954.8981190149466
Germany,1951.3747608584747
Turkey,1948.6800970500824
Norway,1947.0533403315635
Croatia,1931.4402422757425
Uruguay,1928.9126116114364
Paraguay,1923.4741999204311
Australia,1906.6469811345235
Switzerland,1900.0228507282275
Belgium,1893.1727855261674
Senegal,1889.9750245922835
South Korea,1884.8972830740724
Iran,1879.7420283287404
Denmark,1871.5591776955378
Canada,1860.569729288731
Panama,1859.9496077913225
Italy,1857.6083026249785
Nigeria,1852.9168717063815
Yugoslavia,1850.6450599368802
Algeria,1841.7093528330174
Scotland,1831.746222907474
Uzbekistan,1831.422244510587
United States,1825.8067208977193
Austria,1809.2532855962393
Russia,1804.2050658067606
Egypt,1786.2808493402301
Jordan,1782.4428837254804
Ukraine,1781.1413001207723
Jersey,1779.9149176416906
Iraq,1773.363021148059
Ivory Coast,1768.8505495853228
DR Congo,1766.5535022976007
New Zealand,1765.6769782412493
Venezuela,1754.233894756146
Czechoslovakia,1752.330508037191
Greece,1747.9557682189957
Kosovo,1743.8815619782138
Serbia,1742.4107274774512
Costa Rica,1740.4855159055332
Republic of Ireland,1736.0540188643852
Bolivia,1733.9965929138089
Czech Republic,1733.4030392915854
Poland,1732.7457202031512
Hungary,1732.1272389136218
Haiti,1732.0047756565614
Tunisia,1731.2573222360963
Peru,1729.8501178758468
Chile,1726.162362478106
Wales,1725.9623729269763
Guernsey,1720.8500756657338
Honduras,1713.0537789969658
Saudi Arabia,1706.5159230298984
Sweden,1704.2053084422096
Cameroon,1698.217790595342
Mali,1691.351216213857
Jamaica,1683.0476390247288
Slovenia,1677.818866949113
Slovakia,1676.5967511920146
Basque Country,1675.2030290299701
Isle of Man,1668.782453482419
Guatemala,1668.0473743907078
United Arab Emirates,1665.526450801337
Burkina Faso,1658.6715728532474
German DR,1657.4339472032566
Curaçao,1653.8821625871192
Padania,1653.7740118838562
Albania,1650.4802931695992
Cape Verde,1648.619170588726
Romania,1648.5237192797904
Israel,1645.3847143755995
South Africa,1638.7269016243276
North Macedonia,1638.2822598989874
Northern Cyprus,1637.1569939721003
Ghana,1636.5663576226304
Bosnia and Herzegovina,1634.3520316752117
Georgia,1632.9707569982372
Isle of Wight,1627.1270368813937
Ynys Môn,1625.161432673332
Occitania,1615.2657068371755
Palestine,1614.3645881466423
Syria,1611.6035449869362
Suriname,1609.259015465499
Qatar,1606.969557530647
Iraqi Kurdistan,1603.1172677609402
New Caledonia,1603.1109003026381
Northern Ireland,1600.4619191697989
Abkhazia,1597.0599996267301
Oman,1589.3205744932554
Iceland,1581.1266017703513
Kárpátalja,1574.859895653323
Rhodes,1570.7379948599444
Guinea,1568.9543594285476
County of Nice,1567.9156241822845
Tamil Eelam,1566.8755672487212
Trinidad and Tobago,1565.5900355310425
Benin,1564.7030943936102
Catalonia,1562.325244586754
Réunion,1562.185320825034
China,1553.7705822650714
Ellan Vannin,1552.575045445707
Menorca,1550.0164386798526
Angola,1549.4301276995202
Panjab,1549.1977608792263
Kurdistan,1546.2064801415381
Niger,1544.9106682978236
Kernow,1544.179125437535
Uganda,1542.4138418474035
Andalusia,1542.1835866865883
Finland,1540.9526069726612
Guadeloupe,1540.6628324081953
Gabon,1538.480513697765
Belarus,1534.7513640710072
Zambia,1533.4466325392596
Chameria,1533.4001073806337
Arameans Suryoye,1532.4021776031452
Gambia,1531.9933881145084
Artsakh,1530.2646728050943
Corsica,1530.0373777501084
Thailand,1529.8387401676969
Bahrain,1528.6812090691747
Cascadia,1526.519690886012
Yorkshire,1526.2677624698179
Nicaragua,1526.122836858448
Maule Sur,1523.9702443947779
Libya,1521.955035960963
Quebec,1519.0204205115015
Indonesia,1518.610311034335
Galicia,1516.7211873573374
Zanzibar,1513.823597049859
Tahiti,1513.8036120937743
Biafra,1512.8692811743858
Madagascar,1510.7928168973258
Crimea,1510.7312726991263
Asturias,1508.2446073887722
Martinique,1507.7483432944841
Elba Island,1507.42294071615
Surrey,1507.2326050255074
Brittany,1506.399585025369
Parishes of Jersey,1506.0831265066981
Canary Islands,1505.9942293844467
Bulgaria,1505.5752818673495
Mozambique,1505.2875391722355
Donetsk PR,1504.9961099905597
Felvidék,1504.2780334418758
Mapuche,1503.686912136649
Guyana,1501.9016807295613
Délvidék,1499.0953905212803
Silesia,1498.98716037768
Central Spain,1498.3615862075576
Saugeais,1497.9167243438174
Western Armenia,1496.6520189818705
El Salvador,1495.9546677528083
Shetland,1495.7136979680827
Cilento,1495.6896198534012
North Korea,1495.6069909860705
Luhansk PR,1495.4612455566737
Madrid,1494.093094242175
Sierra Leone,1493.9219713217678
Monaco,1493.314415654548
Seborga,1493.2133642837275
Matabeleland,1492.6775416183812
Ryūkyū,1492.2931971068751
United Koreans in Japan,1491.5644053165383
West Papua,1491.0319625161576
Franconia,1490.6265662813153
Kyrgyzstan,1490.1737966467247
Kazakhstan,1488.6540381295076
North Vietnam,1488.26707259995
Somaliland,1487.4546890231406
Chechnya,1487.324152928666
Åland Islands,1487.2461934262953
Yoruba Nation,1486.7746136319136
Sudan,1484.203648219728
Fiji,1482.4963293266376
Dominican Republic,1477.6826705910466
Palau,1477.6210559458382
South Yemen,1476.9868013498049
Sealand,1476.9088052665586
Republic of St. Pauli,1475.9451588694067
Székely Land,1475.8382886109657
Greenland,1475.8041965567966
Romani people,1475.741360017518
Hmong,1474.912874926656
South Ossetia,1474.6630809821743
Comoros,1472.7120721306546
Malaysia,1472.5730466842192
Sápmi,1472.525628786234
Aymara,1472.3428434685732
Manchukuo,1472.2082265860915
Niue,1472.014972394092
Kabylia,1468.752981431417
Vanuatu,1466.9621931987008
East Turkestan,1466.7914014447053
Togo,1466.5268266705675
Tajikistan,1465.398424256627
Vatican City,1464.8898074743674
Saint Barthélemy,1464.5374727991439
Gozo,1463.9949851653566
Kuwait,1463.5814069644284
Papua New Guinea,1463.301274138165
Saarland,1460.0784001272386
Ticino,1459.0400737774503
Kenya,1458.8647238347455
Lebanon,1458.2908904130404
Montenegro,1457.9991096547249
Western Isles,1457.7007302577479
Liberia,1456.068046290715
Găgăuzia,1454.0294130889677
Vietnam,1453.8863105748803
Western Sahara,1450.1183215888968
Mayotte,1446.7222598454475
Zimbabwe,1445.1608150113582
Gotland,1444.0801152601323
Lesotho,1441.9377907016149
Marshall Islands,1440.690046247389
Two Sicilies,1437.0334279570118
Equatorial Guinea,1435.6537305280751
Provence,1435.1670941607654
Solomon Islands,1434.7592479616876
Namibia,1434.4071762320546
French Guiana,1432.3231354950403
Mauritania,1430.5442328617319
Raetia,1429.8253868212153
